,DATE,Region,w_PCPI
0,2000-01-01,Northeast,
1,2000-02-01,Northeast,
2,2000-03-01,Northeast,
3,2000-04-01,Northeast,
4,2000-05-01,Northeast,
5,2000-06-01,Northeast,
6,2000-07-01,Northeast,
7,2000-08-01,Northeast,
8,2000-09-01,Northeast,
9,2000-10-01,Northeast,
10,2000-11-01,Northeast,
11,2000-12-01,Northeast,
12,2001-01-01,Northeast,
13,2001-02-01,Northeast,
14,2001-03-01,Northeast,
15,2001-04-01,Northeast,
16,2001-05-01,Northeast,
17,2001-06-01,Northeast,
18,2001-07-01,Northeast,
19,2001-08-01,Northeast,
20,2001-09-01,Northeast,
21,2001-10-01,Northeast,
22,2001-11-01,Northeast,
23,2001-12-01,Northeast,
24,2002-01-01,Northeast,
25,2002-02-01,Northeast,
26,2002-03-01,Northeast,
27,2002-04-01,Northeast,
28,2002-05-01,Northeast,
29,2002-06-01,Northeast,
30,2002-07-01,Northeast,
31,2002-08-01,Northeast,
32,2002-09-01,Northeast,
33,2002-10-01,Northeast,
34,2002-11-01,Northeast,
35,2002-12-01,Northeast,
36,2003-01-01,Northeast,
37,2003-02-01,Northeast,
38,2003-03-01,Northeast,
39,2003-04-01,Northeast,
40,2003-05-01,Northeast,
41,2003-06-01,Northeast,
42,2003-07-01,Northeast,
43,2003-08-01,Northeast,
44,2003-09-01,Northeast,
45,2003-10-01,Northeast,
46,2003-11-01,Northeast,
47,2003-12-01,Northeast,
48,2004-01-01,Northeast,
49,2004-02-01,Northeast,
50,2004-03-01,Northeast,
51,2004-04-01,Northeast,
52,2004-05-01,Northeast,
53,2004-06-01,Northeast,
54,2004-07-01,Northeast,
55,2004-08-01,Northeast,
56,2004-09-01,Northeast,
57,2004-10-01,Northeast,
58,2004-11-01,Northeast,
59,2004-12-01,Northeast,
60,2005-01-01,Northeast,
61,2005-02-01,Northeast,
62,2005-03-01,Northeast,
63,2005-04-01,Northeast,
64,2005-05-01,Northeast,
65,2005-06-01,Northeast,
66,2005-07-01,Northeast,
67,2005-08-01,Northeast,
68,2005-09-01,Northeast,
69,2005-10-01,Northeast,
70,2005-11-01,Northeast,
71,2005-12-01,Northeast,
72,2006-01-01,Northeast,
73,2006-02-01,Northeast,
74,2006-03-01,Northeast,
75,2006-04-01,Northeast,
76,2006-05-01,Northeast,
77,2006-06-01,Northeast,
78,2006-07-01,Northeast,
79,2006-08-01,Northeast,
80,2006-09-01,Northeast,
81,2006-10-01,Northeast,
82,2006-11-01,Northeast,
83,2006-12-01,Northeast,
84,2007-01-01,Northeast,
85,2007-02-01,Northeast,
86,2007-03-01,Northeast,
87,2007-04-01,Northeast,
88,2007-05-01,Northeast,
89,2007-06-01,Northeast,
90,2007-07-01,Northeast,
91,2007-08-01,Northeast,
92,2007-09-01,Northeast,
93,2007-10-01,Northeast,
94,2007-11-01,Northeast,
95,2007-12-01,Northeast,
96,2008-01-01,Northeast,
97,2008-02-01,Northeast,
98,2008-03-01,Northeast,
99,2008-04-01,Northeast,
100,2008-05-01,Northeast,
101,2008-06-01,Northeast,
102,2008-07-01,Northeast,
103,2008-08-01,Northeast,
104,2008-09-01,Northeast,
105,2008-10-01,Northeast,
106,2008-11-01,Northeast,
107,2008-12-01,Northeast,
108,2009-01-01,Northeast,
109,2009-02-01,Northeast,
110,2009-03-01,Northeast,
111,2009-04-01,Northeast,
112,2009-05-01,Northeast,
113,2009-06-01,Northeast,
114,2009-07-01,Northeast,
115,2009-08-01,Northeast,
116,2009-09-01,Northeast,
117,2009-10-01,Northeast,
118,2009-11-01,Northeast,
119,2009-12-01,Northeast,
120,2010-01-01,Northeast,
121,2010-02-01,Northeast,
122,2010-03-01,Northeast,
123,2010-04-01,Northeast,
124,2010-05-01,Northeast,
125,2010-06-01,Northeast,
126,2010-07-01,Northeast,
127,2010-08-01,Northeast,
128,2010-09-01,Northeast,
129,2010-10-01,Northeast,
130,2010-11-01,Northeast,
131,2010-12-01,Northeast,
132,2011-01-01,Northeast,
133,2011-02-01,Northeast,
134,2011-03-01,Northeast,
135,2011-04-01,Northeast,
136,2011-05-01,Northeast,
137,2011-06-01,Northeast,
138,2011-07-01,Northeast,
139,2011-08-01,Northeast,
140,2011-09-01,Northeast,
141,2011-10-01,Northeast,
142,2011-11-01,Northeast,
143,2011-12-01,Northeast,
144,2012-01-01,Northeast,
145,2012-02-01,Northeast,
146,2012-03-01,Northeast,
147,2012-04-01,Northeast,
148,2012-05-01,Northeast,
149,2012-06-01,Northeast,
150,2012-07-01,Northeast,
151,2012-08-01,Northeast,
152,2012-09-01,Northeast,
153,2012-10-01,Northeast,
154,2012-11-01,Northeast,
155,2012-12-01,Northeast,
156,2013-01-01,Northeast,
157,2013-02-01,Northeast,
158,2013-03-01,Northeast,
159,2013-04-01,Northeast,
160,2013-05-01,Northeast,
161,2013-06-01,Northeast,
162,2013-07-01,Northeast,
163,2013-08-01,Northeast,
164,2013-09-01,Northeast,
165,2013-10-01,Northeast,
166,2013-11-01,Northeast,
167,2013-12-01,Northeast,
168,2014-01-01,Northeast,
169,2014-02-01,Northeast,
170,2014-03-01,Northeast,
171,2014-04-01,Northeast,
172,2014-05-01,Northeast,
173,2014-06-01,Northeast,
174,2014-07-01,Northeast,
175,2014-08-01,Northeast,
176,2014-09-01,Northeast,
177,2014-10-01,Northeast,
178,2014-11-01,Northeast,
179,2014-12-01,Northeast,
180,2015-01-01,Northeast,
181,2015-02-01,Northeast,
182,2015-03-01,Northeast,
183,2015-04-01,Northeast,
184,2015-05-01,Northeast,
185,2015-06-01,Northeast,
186,2015-07-01,Northeast,
187,2015-08-01,Northeast,
188,2015-09-01,Northeast,
189,2015-10-01,Northeast,
190,2015-11-01,Northeast,
191,2015-12-01,Northeast,
192,2016-01-01,Northeast,
193,2016-02-01,Northeast,
194,2016-03-01,Northeast,
195,2016-04-01,Northeast,
196,2016-05-01,Northeast,
197,2016-06-01,Northeast,
198,2016-07-01,Northeast,
199,2016-08-01,Northeast,
200,2016-09-01,Northeast,
201,2016-10-01,Northeast,
202,2016-11-01,Northeast,
203,2016-12-01,Northeast,
204,2017-01-01,Northeast,
205,2017-02-01,Northeast,
206,2017-03-01,Northeast,
207,2017-04-01,Northeast,
208,2017-05-01,Northeast,
209,2017-06-01,Northeast,
210,2017-07-01,Northeast,
211,2017-08-01,Northeast,
212,2017-09-01,Northeast,
213,2017-10-01,Northeast,
214,2017-11-01,Northeast,
215,2017-12-01,Northeast,
216,2018-01-01,Northeast,
217,2018-02-01,Northeast,
218,2018-03-01,Northeast,
219,2018-04-01,Northeast,
220,2018-05-01,Northeast,
221,2018-06-01,Northeast,
222,2018-07-01,Northeast,
223,2018-08-01,Northeast,
224,2018-09-01,Northeast,
225,2018-10-01,Northeast,
226,2018-11-01,Northeast,
227,2018-12-01,Northeast,
228,2019-01-01,Northeast,
229,2019-02-01,Northeast,
230,2019-03-01,Northeast,
231,2019-04-01,Northeast,
232,2019-05-01,Northeast,
233,2019-06-01,Northeast,
234,2019-07-01,Northeast,
235,2019-08-01,Northeast,
236,2019-09-01,Northeast,
237,2019-10-01,Northeast,
238,2019-11-01,Northeast,
239,2019-12-01,Northeast,
240,2020-01-01,Northeast,
241,2020-02-01,Northeast,
242,2020-03-01,Northeast,
243,2020-04-01,Northeast,
244,2020-05-01,Northeast,
245,2020-06-01,Northeast,
246,2020-07-01,Northeast,
247,2020-08-01,Northeast,
248,2020-09-01,Northeast,
249,2020-10-01,Northeast,
250,2020-11-01,Northeast,
251,2020-12-01,Northeast,
252,2021-01-01,Northeast,
253,2021-02-01,Northeast,
254,2021-03-01,Northeast,
255,2021-04-01,Northeast,
256,2021-05-01,Northeast,
257,2021-06-01,Northeast,
258,2021-07-01,Northeast,
259,2021-08-01,Northeast,
260,2021-09-01,Northeast,
261,2021-10-01,Northeast,
262,2021-11-01,Northeast,
263,2021-12-01,Northeast,
264,2022-01-01,Northeast,
265,2022-02-01,Northeast,
266,2022-03-01,Northeast,
267,2022-04-01,Northeast,
268,2022-05-01,Northeast,
269,2022-06-01,Northeast,
270,2022-07-01,Northeast,
271,2022-08-01,Northeast,
272,2022-09-01,Northeast,
273,2022-10-01,Northeast,
274,2022-11-01,Northeast,
275,2022-12-01,Northeast,
276,2023-01-01,Northeast,
277,2000-01-01,Midwest,
278,2000-02-01,Midwest,
279,2000-03-01,Midwest,
280,2000-04-01,Midwest,
281,2000-05-01,Midwest,
282,2000-06-01,Midwest,
283,2000-07-01,Midwest,
284,2000-08-01,Midwest,
285,2000-09-01,Midwest,
286,2000-10-01,Midwest,
287,2000-11-01,Midwest,
288,2000-12-01,Midwest,
289,2001-01-01,Midwest,
290,2001-02-01,Midwest,
291,2001-03-01,Midwest,
292,2001-04-01,Midwest,
293,2001-05-01,Midwest,
294,2001-06-01,Midwest,
295,2001-07-01,Midwest,
296,2001-08-01,Midwest,
297,2001-09-01,Midwest,
298,2001-10-01,Midwest,
299,2001-11-01,Midwest,
300,2001-12-01,Midwest,
301,2002-01-01,Midwest,
302,2002-02-01,Midwest,
303,2002-03-01,Midwest,
304,2002-04-01,Midwest,
305,2002-05-01,Midwest,
306,2002-06-01,Midwest,
307,2002-07-01,Midwest,
308,2002-08-01,Midwest,
309,2002-09-01,Midwest,
310,2002-10-01,Midwest,
311,2002-11-01,Midwest,
312,2002-12-01,Midwest,
313,2003-01-01,Midwest,
314,2003-02-01,Midwest,
315,2003-03-01,Midwest,
316,2003-04-01,Midwest,
317,2003-05-01,Midwest,
318,2003-06-01,Midwest,
319,2003-07-01,Midwest,
320,2003-08-01,Midwest,
321,2003-09-01,Midwest,
322,2003-10-01,Midwest,
323,2003-11-01,Midwest,
324,2003-12-01,Midwest,
325,2004-01-01,Midwest,
326,2004-02-01,Midwest,
327,2004-03-01,Midwest,
328,2004-04-01,Midwest,
329,2004-05-01,Midwest,
330,2004-06-01,Midwest,
331,2004-07-01,Midwest,
332,2004-08-01,Midwest,
333,2004-09-01,Midwest,
334,2004-10-01,Midwest,
335,2004-11-01,Midwest,
336,2004-12-01,Midwest,
337,2005-01-01,Midwest,
338,2005-02-01,Midwest,
339,2005-03-01,Midwest,
340,2005-04-01,Midwest,
341,2005-05-01,Midwest,
342,2005-06-01,Midwest,
343,2005-07-01,Midwest,
344,2005-08-01,Midwest,
345,2005-09-01,Midwest,
346,2005-10-01,Midwest,
347,2005-11-01,Midwest,
348,2005-12-01,Midwest,
349,2006-01-01,Midwest,
350,2006-02-01,Midwest,
351,2006-03-01,Midwest,
352,2006-04-01,Midwest,
353,2006-05-01,Midwest,
354,2006-06-01,Midwest,
355,2006-07-01,Midwest,
356,2006-08-01,Midwest,
357,2006-09-01,Midwest,
358,2006-10-01,Midwest,
359,2006-11-01,Midwest,
360,2006-12-01,Midwest,
361,2007-01-01,Midwest,
362,2007-02-01,Midwest,
363,2007-03-01,Midwest,
364,2007-04-01,Midwest,
365,2007-05-01,Midwest,
366,2007-06-01,Midwest,
367,2007-07-01,Midwest,
368,2007-08-01,Midwest,
369,2007-09-01,Midwest,
370,2007-10-01,Midwest,
371,2007-11-01,Midwest,
372,2007-12-01,Midwest,
373,2008-01-01,Midwest,
374,2008-02-01,Midwest,
375,2008-03-01,Midwest,
376,2008-04-01,Midwest,
377,2008-05-01,Midwest,
378,2008-06-01,Midwest,
379,2008-07-01,Midwest,
380,2008-08-01,Midwest,
381,2008-09-01,Midwest,
382,2008-10-01,Midwest,
383,2008-11-01,Midwest,
384,2008-12-01,Midwest,
385,2009-01-01,Midwest,
386,2009-02-01,Midwest,
387,2009-03-01,Midwest,
388,2009-04-01,Midwest,
389,2009-05-01,Midwest,
390,2009-06-01,Midwest,
391,2009-07-01,Midwest,
392,2009-08-01,Midwest,
393,2009-09-01,Midwest,
394,2009-10-01,Midwest,
395,2009-11-01,Midwest,
396,2009-12-01,Midwest,
397,2010-01-01,Midwest,
398,2010-02-01,Midwest,
399,2010-03-01,Midwest,
400,2010-04-01,Midwest,
401,2010-05-01,Midwest,
402,2010-06-01,Midwest,
403,2010-07-01,Midwest,
404,2010-08-01,Midwest,
405,2010-09-01,Midwest,
406,2010-10-01,Midwest,
407,2010-11-01,Midwest,
408,2010-12-01,Midwest,
409,2011-01-01,Midwest,
410,2011-02-01,Midwest,
411,2011-03-01,Midwest,
412,2011-04-01,Midwest,
413,2011-05-01,Midwest,
414,2011-06-01,Midwest,
415,2011-07-01,Midwest,
416,2011-08-01,Midwest,
417,2011-09-01,Midwest,
418,2011-10-01,Midwest,
419,2011-11-01,Midwest,
420,2011-12-01,Midwest,
421,2012-01-01,Midwest,
422,2012-02-01,Midwest,
423,2012-03-01,Midwest,
424,2012-04-01,Midwest,
425,2012-05-01,Midwest,
426,2012-06-01,Midwest,
427,2012-07-01,Midwest,
428,2012-08-01,Midwest,
429,2012-09-01,Midwest,
430,2012-10-01,Midwest,
431,2012-11-01,Midwest,
432,2012-12-01,Midwest,
433,2013-01-01,Midwest,
434,2013-02-01,Midwest,
435,2013-03-01,Midwest,
436,2013-04-01,Midwest,
437,2013-05-01,Midwest,
438,2013-06-01,Midwest,
439,2013-07-01,Midwest,
440,2013-08-01,Midwest,
441,2013-09-01,Midwest,
442,2013-10-01,Midwest,
443,2013-11-01,Midwest,
444,2013-12-01,Midwest,
445,2014-01-01,Midwest,
446,2014-02-01,Midwest,
447,2014-03-01,Midwest,
448,2014-04-01,Midwest,
449,2014-05-01,Midwest,
450,2014-06-01,Midwest,
451,2014-07-01,Midwest,
452,2014-08-01,Midwest,
453,2014-09-01,Midwest,
454,2014-10-01,Midwest,
455,2014-11-01,Midwest,
456,2014-12-01,Midwest,
457,2015-01-01,Midwest,
458,2015-02-01,Midwest,
459,2015-03-01,Midwest,
460,2015-04-01,Midwest,
461,2015-05-01,Midwest,
462,2015-06-01,Midwest,
463,2015-07-01,Midwest,
464,2015-08-01,Midwest,
465,2015-09-01,Midwest,
466,2015-10-01,Midwest,
467,2015-11-01,Midwest,
468,2015-12-01,Midwest,
469,2016-01-01,Midwest,
470,2016-02-01,Midwest,
471,2016-03-01,Midwest,
472,2016-04-01,Midwest,
473,2016-05-01,Midwest,
474,2016-06-01,Midwest,
475,2016-07-01,Midwest,
476,2016-08-01,Midwest,
477,2016-09-01,Midwest,
478,2016-10-01,Midwest,
479,2016-11-01,Midwest,
480,2016-12-01,Midwest,
481,2017-01-01,Midwest,
482,2017-02-01,Midwest,
483,2017-03-01,Midwest,
484,2017-04-01,Midwest,
485,2017-05-01,Midwest,
486,2017-06-01,Midwest,
487,2017-07-01,Midwest,
488,2017-08-01,Midwest,
489,2017-09-01,Midwest,
490,2017-10-01,Midwest,
491,2017-11-01,Midwest,
492,2017-12-01,Midwest,
493,2018-01-01,Midwest,
494,2018-02-01,Midwest,
495,2018-03-01,Midwest,
496,2018-04-01,Midwest,
497,2018-05-01,Midwest,
498,2018-06-01,Midwest,
499,2018-07-01,Midwest,
500,2018-08-01,Midwest,
501,2018-09-01,Midwest,
502,2018-10-01,Midwest,
503,2018-11-01,Midwest,
504,2018-12-01,Midwest,
505,2019-01-01,Midwest,
506,2019-02-01,Midwest,
507,2019-03-01,Midwest,
508,2019-04-01,Midwest,
509,2019-05-01,Midwest,
510,2019-06-01,Midwest,
511,2019-07-01,Midwest,
512,2019-08-01,Midwest,
513,2019-09-01,Midwest,
514,2019-10-01,Midwest,
515,2019-11-01,Midwest,
516,2019-12-01,Midwest,
517,2020-01-01,Midwest,
518,2020-02-01,Midwest,
519,2020-03-01,Midwest,
520,2020-04-01,Midwest,
521,2020-05-01,Midwest,
522,2020-06-01,Midwest,
523,2020-07-01,Midwest,
524,2020-08-01,Midwest,
525,2020-09-01,Midwest,
526,2020-10-01,Midwest,
527,2020-11-01,Midwest,
528,2020-12-01,Midwest,
529,2021-01-01,Midwest,
530,2021-02-01,Midwest,
531,2021-03-01,Midwest,
532,2021-04-01,Midwest,
533,2021-05-01,Midwest,
534,2021-06-01,Midwest,
535,2021-07-01,Midwest,
536,2021-08-01,Midwest,
537,2021-09-01,Midwest,
538,2021-10-01,Midwest,
