DATE,ALPCPI,AKPCPI,AZPCPI,ARPCPI,CAPCPI,COPCPI,CTPCPI,DEPCPI,DCPCPI,FLPCPI,GAPCPI,HIPCPI,IDPCPI,ILPCPI,INPCPI,IAPCPI,KSPCPI,KYPCPI,LAPCPI,MEPCPI,MDPCPI,MAPCPI,MIPCPI,MNPCPI,MSPCPI,MOPCPI,MTPCPI,NEPCPI,NVPCPI,NHPCPI,NJPCPI,NMPCPI,NYPCPI,NCPCPI,NDPCPI,OHPCPI,OKPCPI,ORPCPI,PAPCPI,RIPCPI,SCPCPI,SDPCPI,TNPCPI,TXPCPI,UTPCPI,VTPCPI,VAPCPI,WAPCPI,WVPCPI,WIPCPI,WYPCPI,ALPOP,AKPOP,AZPOP,ARPOP,CAPOP,COPOP,CTPOP,DEPOP,FLPOP,GAPOP,HIPOP,IDPOP,ILPOP,INPOP,IAPOP,KSPOP,KYPOP,LAPOP,MEPOP,MDPOP,MAPOP,MIPOP,MNPOP,MSPOP,MOPOP,MTPOP,NEPOP,NVPOP,NHPOP,NJPOP,NMPOP,NYPOP,NCPOP,NDPOP,OHPOP,OKPOP,ORPOP,PAPOP,RIPOP,SCPOP,SDPOP,TNPOP,TXPOP,UTPOP,VTPOP,VAPOP,WAPOP,WVPOP,WIPOP,WYPOP
2000-01-01,24258.0,31996.0,26271.0,22731.0,33175.0,33872.0,42857.0,33810.0,43401.0,29387.0,28760.0,29174.0,25139.0,33072.0,28075.0,27341.0,28166.0,24815.0,23907.0,27478.0,35480.0,38381.0,30250.0,32348.0,21628.0,27857.0,22982.0,28924.0,31858.0,35323.0,39095.0,23019.0,35955.0,27410.0,25842.0,28496.0,24124.0,28257.0,30339.0,30350.0,25025.0,26727.0,26998.0,28253.0,24162.0,29002.0,32631.0,32538.0,22275.0,29493.0,29426.0,4452.173,627.963,5160.586,2678.588,33987.977,4326.921,3411.777,786.373,16047.515,8227.303,1213.519,1299.43,12434.161,6091.866,2929.067,2693.681,4049.021,4471.885,1277.072,5311.034,6361.104,9952.45,4933.692,2848.353,5607.285,903.773,1713.82,2018.741,1239.882,8430.621,1821.204,19001.78,8081.614,642.023,11363.543,3454.365,3429.708,12284.173,1050.268,4024.223,755.844,5703.719,20944.499,2244.502,609.618,7105.817,5910.512,1807.021,5373.999,494.3
2001-01-01,25046.0,33591.0,26946.0,23841.0,33915.0,34812.0,45032.0,36917.0,44809.0,30405.0,29693.0,30178.0,25803.0,34206.0,28596.0,28145.0,29047.0,25564.0,25630.0,28821.0,37012.0,39711.0,30694.0,33417.0,22806.0,28634.0,23910.0,30184.0,32418.0,36782.0,40189.0,24545.0,37176.0,27782.0,26493.0,29261.0,25557.0,28774.0,31563.0,31795.0,25644.0,27563.0,27496.0,29601.0,24867.0,30704.0,33940.0,32986.0,23731.0,30812.0,31215.0,4467.634,633.714,5273.477,2691.571,34479.458,4425.687,3432.835,795.699,16356.966,8377.038,1225.948,1319.962,12488.445,6127.76,2931.997,2702.162,4068.132,4477.875,1285.692,5374.691,6397.634,9991.12,4982.796,2852.994,5641.142,906.961,1719.836,2098.399,1255.517,8492.671,1831.69,19082.838,8210.122,639.062,11387.404,3467.1,3467.937,12298.97,1057.142,4064.995,757.972,5750.789,21319.622,2283.715,612.223,7198.362,5985.722,1801.481,5406.835,494.657
2002-01-01,25671.0,34766.0,27325.0,24280.0,34047.0,34405.0,44656.0,37660.0,45124.0,30815.0,30086.0,31353.0,26272.0,34520.0,28902.0,28804.0,29218.0,26053.0,26281.0,29546.0,37995.0,39419.0,30595.0,33889.0,23202.0,29144.0,24516.0,30553.0,32180.0,37013.0,40454.0,25237.0,36972.0,27856.0,27197.0,29669.0,25999.0,28759.0,32084.0,32801.0,26122.0,27497.0,28102.0,29481.0,25167.0,31194.0,34495.0,33222.0,24506.0,31406.0,31810.0,4480.089,642.337,5396.255,2705.927,34871.843,4490.406,3458.749,806.169,16689.37,8508.256,1239.613,1340.372,12525.556,6155.967,2934.234,2713.535,4089.875,4497.267,1295.96,5440.389,6417.206,10015.71,5018.935,2858.681,5674.825,911.667,1728.292,2173.791,1269.089,8552.643,1855.309,19137.8,8326.201,638.168,11407.889,3489.08,3513.424,12331.031,1065.995,4107.795,760.02,5795.918,21690.325,2324.815,615.442,7286.873,6052.349,1805.414,5445.162,500.017
2003-01-01,26700.0,36045.0,28384.0,25564.0,35191.0,34757.0,44898.0,37985.0,45978.0,31779.0,30805.0,32557.0,26739.0,35081.0,29445.0,29344.0,30029.0,26661.0,26987.0,30740.0,39295.0,40158.0,31267.0,35195.0,24060.0,30054.0,26114.0,32268.0,33136.0,37374.0,41167.0,26108.0,37420.0,28709.0,29663.0,30471.0,27184.0,29523.0,33066.0,34256.0,26792.0,29883.0,29059.0,30176.0,25749.0,32282.0,36151.0,34267.0,24804.0,32084.0,33642.0,4503.491,648.414,5510.364,2724.816,35253.159,4528.732,3484.336,818.003,17004.085,8622.793,1251.154,1363.38,12556.006,6196.638,2941.999,2723.004,4117.17,4521.042,1306.513,5496.269,6422.565,10041.152,5053.572,2868.312,5709.403,919.63,1738.643,2248.85,1279.84,8601.402,1877.574,19175.939,8422.501,638.817,11434.788,3504.892,3547.376,12374.658,1071.342,4150.297,763.729,5847.812,22030.931,2360.137,617.858,7366.977,6104.115,1812.295,5479.203,503.453
2004-01-01,28385.0,37054.0,30154.0,27024.0,36969.0,35753.0,47098.0,38843.0,49986.0,33706.0,31982.0,34336.0,28299.0,36366.0,30657.0,31615.0,30748.0,28030.0,27983.0,32096.0,41515.0,42242.0,32092.0,37084.0,25287.0,31396.0,28034.0,33496.0,35173.0,39324.0,42825.0,27366.0,39093.0,30586.0,29984.0,31588.0,29194.0,30980.0,34860.0,35867.0,27892.0,31871.0,30435.0,31097.0,26980.0,33955.0,38082.0,36309.0,25628.0,33319.0,35921.0,4530.729,659.286,5652.404,2749.686,35574.576,4575.013,3496.094,830.803,17415.318,8769.252,1273.569,1391.802,12589.773,6233.007,2953.635,2734.373,4146.101,4552.238,1313.688,5546.935,6412.281,10055.315,5087.713,2889.01,5747.741,930.009,1749.37,2346.222,1290.121,8634.561,1903.808,19171.567,8553.152,644.705,11452.251,3525.233,3569.463,12410.722,1074.579,4210.921,770.396,5910.809,22394.023,2401.58,619.92,7475.575,6178.645,1816.438,5514.026,509.106
2005-01-01,29780.0,39013.0,32150.0,28043.0,38737.0,37619.0,49424.0,39133.0,52686.0,35736.0,33283.0,36278.0,29214.0,37720.0,31376.0,32411.0,32340.0,29104.0,29970.0,32684.0,43311.0,44061.0,32756.0,37812.0,26716.0,32256.0,29839.0,34401.0,37907.0,40404.0,44238.0,28744.0,40645.0,32209.0,31731.0,32419.0,31699.0,32125.0,36173.0,36746.0,29136.0,33534.0,31410.0,33136.0,28751.0,34573.0,40027.0,37202.0,26836.0,34218.0,38907.0,4569.805,666.946,5839.077,2781.097,35827.943,4631.888,3506.956,845.15,17842.038,8925.922,1292.729,1428.241,12609.903,6278.616,2964.454,2745.299,4182.742,4576.628,1318.787,5592.379,6403.29,10051.137,5119.598,2905.943,5790.3,940.102,1761.497,2432.143,1298.492,8651.974,1932.274,19132.61,8705.407,646.089,11463.32,3548.597,3613.202,12449.99,1067.916,4270.15,775.493,5991.057,22778.123,2457.719,621.215,7577.105,6257.305,1820.492,5546.166,514.157
2006-01-01,31264.0,41013.0,34460.0,29376.0,41454.0,39869.0,53224.0,40736.0,55384.0,38009.0,34574.0,38315.0,31244.0,40021.0,32905.0,34197.0,35411.0,30476.0,33627.0,34168.0,45293.0,47311.0,33563.0,39362.0,27827.0,33860.0,31870.0,35718.0,39437.0,42866.0,47366.0,30433.0,43760.0,34189.0,33120.0,33976.0,34650.0,34488.0,37803.0,38719.0,30789.0,34983.0,32878.0,35422.0,31107.0,36609.0,42164.0,39744.0,28528.0,36047.0,43805.0,4628.981,675.302,6029.141,2821.761,36021.202,4720.423,3517.46,859.268,18166.99,9155.813,1309.731,1468.669,12643.955,6332.669,2982.644,2762.931,4219.239,4302.665,1323.619,5627.367,6410.084,10036.081,5163.555,2904.978,5842.704,952.692,1772.693,2522.658,1308.389,8661.679,1962.137,19104.631,8917.27,649.422,11481.213,3594.09,3670.883,12510.809,1063.096,4357.847,783.033,6088.766,23359.58,2525.507,622.892,7673.725,6370.753,1827.912,5577.655,522.667
2007-01-01,32516.0,43747.0,35602.0,31036.0,43070.0,41760.0,57112.0,41539.0,59358.0,39184.0,35440.0,40301.0,32459.0,42148.0,33845.0,36366.0,37748.0,31529.0,36208.0,35402.0,47033.0,49662.0,34669.0,41325.0,29432.0,35228.0,33841.0,38184.0,39870.0,44422.0,50133.0,31780.0,47020.0,35960.0,36501.0,35371.0,35493.0,35624.0,40008.0,40608.0,32190.0,38330.0,33963.0,36879.0,32924.0,38595.0,44020.0,42524.0,29544.0,37522.0,45634.0,4672.84,680.3,6167.681,2848.65,36250.311,4803.868,3527.27,871.749,18367.842,9349.988,1315.675,1505.105,12695.866,6379.599,2999.212,2783.785,4256.672,4375.581,1327.04,5653.408,6431.559,10001.284,5207.203,2928.35,5887.612,964.706,1783.44,2601.072,1312.54,8677.885,1990.07,19132.335,9118.037,652.822,11500.468,3634.349,3722.417,12563.937,1057.315,4444.11,791.623,6175.727,23831.983,2597.746,623.481,7751.0,6461.587,1834.052,5610.775,534.876
2008-01-01,33441.0,47800.0,35586.0,32157.0,43391.0,42961.0,60543.0,41254.0,60609.0,39185.0,35272.0,41887.0,32690.0,43238.0,35270.0,38490.0,41060.0,32830.0,38328.0,36960.0,49026.0,51546.0,35826.0,42983.0,30736.0,37124.0,35569.0,40291.0,38640.0,45713.0,51606.0,33552.0,47909.0,37772.0,40973.0,36654.0,39154.0,36856.0,41467.0,41487.0,33110.0,40891.0,34954.0,39841.0,33784.0,40774.0,45383.0,44098.0,31494.0,38857.0,49451.0,4718.206,687.455,6280.362,2874.554,36604.337,4889.73,3545.579,883.874,18527.305,9504.843,1332.213,1534.32,12747.038,6424.806,3016.734,2808.076,4289.878,4435.586,1330.509,5684.965,6468.967,9946.889,5247.018,2947.806,5923.916,976.415,1796.378,2653.63,1315.906,8711.09,2010.662,19212.436,9309.449,657.569,11515.391,3668.976,3768.748,12612.285,1055.003,4528.996,799.124,6247.411,24309.039,2663.029,624.151,7833.496,6562.231,1840.31,5640.996,546.043
2009-01-01,32717.0,47211.0,33467.0,31411.0,41660.0,40258.0,59586.0,41056.0,60011.0,36777.0,34213.0,41144.0,31200.0,41088.0,34200.0,37246.0,39382.0,32198.0,36803.0,37107.0,48448.0,50751.0,34247.0,40963.0,30220.0,36306.0,34479.0,39422.0,36125.0,45119.0,49828.0,32901.0,46936.0,35921.0,40186.0,35593.0,35835.0,35286.0,40446.0,40588.0,31973.0,39435.0,34427.0,37234.0,31796.0,40358.0,44091.0,41679.0,31653.0,38138.0,44499.0,4757.938,698.895,6343.154,2896.843,36961.229,4972.195,3561.807,891.73,18652.644,9620.846,1346.717,1554.439,12796.778,6459.325,3032.87,2832.704,4317.074,4491.648,1329.59,5730.388,6517.613,9901.591,5281.203,2958.774,5961.088,983.982,1812.683,2684.665,1316.102,8755.602,2036.802,19307.066,9449.566,664.968,11528.896,3717.572,3808.6,12666.858,1053.646,4589.872,807.067,6306.019,24801.761,2723.421,624.817,7925.937,6667.426,1847.775,5669.264,559.851
