Region,DATE,Population
Midwest,2000-01-01,64491.431
Midwest,2000-02-01,64515.18933333333
Midwest,2000-03-01,64538.94766666667
Midwest,2000-04-01,64562.706
Midwest,2000-05-01,64586.46433333333
Midwest,2000-06-01,64610.22266666667
Midwest,2000-07-01,64633.981
Midwest,2000-08-01,64657.73933333333
Midwest,2000-09-01,64681.49766666667
Midwest,2000-10-01,64705.256
Midwest,2000-11-01,64729.01433333333
Midwest,2000-12-01,64752.77266666667
Midwest,2001-01-01,64776.531
Midwest,2001-02-01,64796.677833333335
Midwest,2001-03-01,64816.82466666667
Midwest,2001-04-01,64836.9715
Midwest,2001-05-01,64857.11833333333
Midwest,2001-06-01,64877.265166666664
Midwest,2001-07-01,64897.412
Midwest,2001-08-01,64917.558833333336
Midwest,2001-09-01,64937.70566666666
Midwest,2001-10-01,64957.8525
Midwest,2001-11-01,64977.99933333333
Midwest,2001-12-01,64998.146166666666
Midwest,2002-01-01,65018.293
Midwest,2002-02-01,65039.84808333333
Midwest,2002-03-01,65061.40316666666
Midwest,2002-04-01,65082.958249999996
Midwest,2002-05-01,65104.51333333333
Midwest,2002-06-01,65126.06841666666
Midwest,2002-07-01,65147.6235
Midwest,2002-08-01,65169.178583333334
Midwest,2002-09-01,65190.73366666667
Midwest,2002-10-01,65212.28875
Midwest,2002-11-01,65233.84383333333
Midwest,2002-12-01,65255.398916666665
Midwest,2003-01-01,65276.954
Midwest,2003-02-01,65298.23325
Midwest,2003-03-01,65319.512500000004
Midwest,2003-04-01,65340.791750000004
Midwest,2003-05-01,65362.070999999996
Midwest,2003-06-01,65383.35025
Midwest,2003-07-01,65404.6295
Midwest,2003-08-01,65425.90875
Midwest,2003-09-01,65447.188
Midwest,2003-10-01,65468.46725
Midwest,2003-11-01,65489.7465
Midwest,2003-12-01,65511.02575
Midwest,2004-01-01,65532.305
Midwest,2004-02-01,65550.60225
Midwest,2004-03-01,65568.8995
Midwest,2004-04-01,65587.19675
Midwest,2004-05-01,65605.494
Midwest,2004-06-01,65623.79125
Midwest,2004-07-01,65642.0885
Midwest,2004-08-01,65660.38575
Midwest,2004-09-01,65678.683
Midwest,2004-10-01,65696.98025000001
Midwest,2004-11-01,65715.2775
Midwest,2004-12-01,65733.57475
Midwest,2005-01-01,65751.872
Midwest,2005-02-01,65774.92891666667
Midwest,2005-03-01,65797.98583333334
Midwest,2005-04-01,65821.04275
Midwest,2005-05-01,65844.09966666666
Midwest,2005-06-01,65867.15658333333
Midwest,2005-07-01,65890.2135
Midwest,2005-08-01,65913.27041666667
Midwest,2005-09-01,65936.32733333333
Midwest,2005-10-01,65959.38425
Midwest,2005-11-01,65982.44116666667
Midwest,2005-12-01,66005.49808333332
Midwest,2006-01-01,66028.555
