Region,DATE,w_PCPI
Midwest,2000-01-01,29829.364066444734
Midwest,2000-02-01,29900.646773944944
Midwest,2000-03-01,29971.931887047485
Midwest,2000-04-01,30043.219403096657
Midwest,2000-05-01,30114.50931944067
Midwest,2000-06-01,30185.801633431616
Midwest,2000-07-01,30257.096342425513
Midwest,2000-08-01,30328.393443782235
Midwest,2000-09-01,30399.692934865547
Midwest,2000-10-01,30470.994813043086
Midwest,2000-11-01,30542.29907568636
Midwest,2000-12-01,30613.605720170715
Midwest,2001-01-01,30684.91474387537
Midwest,2001-02-01,30712.406159686594
Midwest,2001-03-01,30739.899552859064
Midwest,2001-04-01,30767.394921549505
Midwest,2001-05-01,30794.892263916925
Midwest,2001-06-01,30822.391578122617
Midwest,2001-07-01,30849.892862330165
Midwest,2001-08-01,30877.396114705432
Midwest,2001-09-01,30904.901333416547
Midwest,2001-10-01,30932.40851663392
Midwest,2001-11-01,30959.917662530235
Midwest,2001-12-01,30987.42876928043
Midwest,2002-01-01,31014.94183506171
Midwest,2002-02-01,31081.28819686022
Midwest,2002-03-01,31147.63706877929
Midwest,2002-04-01,31213.98844832491
Midwest,2002-05-01,31280.34233300637
Midwest,2002-06-01,31346.698720336262
Midwest,2002-07-01,31413.057607830466
Midwest,2002-08-01,31479.41899300816
Midwest,2002-09-01,31545.782873391774
Midwest,2002-10-01,31612.149246507048
Midwest,2002-11-01,31678.518109882978
Midwest,2002-12-01,31744.88946105181
Midwest,2003-01-01,31811.26329754909
Midwest,2003-02-01,31914.86953276944
Midwest,2003-03-01,32018.48066992318
Midwest,2003-04-01,32122.096704221145
Midwest,2003-05-01,32225.717630880383
Midwest,2003-06-01,32329.3434451242
Midwest,2003-07-01,32432.97414218209
Midwest,2003-08-01,32536.609717289768
Midwest,2003-09-01,32640.250165689147
Midwest,2003-10-01,32743.895482628315
Midwest,2003-11-01,32847.545663361554
Midwest,2003-12-01,32951.200703149276
Midwest,2004-01-01,33054.8605972581
Midwest,2004-02-01,33133.68412684145
Midwest,2004-03-01,33212.50667581443
Midwest,2004-04-01,33291.328244997756
Midwest,2004-05-01,33370.14883521121
Midwest,2004-06-01,33448.96844727365
Midwest,2004-07-01,33527.78708200304
Midwest,2004-08-01,33606.604740216426
Midwest,2004-09-01,33685.421422729945
Midwest,2004-10-01,33764.237130358815
Midwest,2004-11-01,33843.051863917375
Midwest,2004-12-01,33921.86562421901
Midwest,2005-01-01,34000.67841207623
Midwest,2005-02-01,34140.09785840826
Midwest,2005-03-01,34279.52585956521
Midwest,2005-04-01,34418.96240655691
Midwest,2005-05-01,34558.40749040574
Midwest,2005-06-01,34697.86110214669
Midwest,2005-07-01,34837.323232827286
Midwest,2005-08-01,34976.793873507566
Midwest,2005-09-01,35116.273015260085
Midwest,2005-10-01,35255.76064916987
Midwest,2005-11-01,35395.25676633444
Midwest,2005-12-01,35534.76135786371
Midwest,2006-01-01,35674.27441488005
Midwest,2006-02-01,35811.36343658114
Midwest,2006-03-01,35948.463836272305
Midwest,2006-04-01,36085.57560254308
Midwest,2006-05-01,36222.69872399825
Midwest,2006-06-01,36359.83318925783
Midwest,2006-07-01,36496.97898695703
Midwest,2006-08-01,36634.13610574623
Midwest,2006-09-01,36771.30453429098
Midwest,2006-10-01,36908.48426127195
Midwest,2006-11-01,37045.675275384885
Midwest,2006-12-01,37182.877565340656
Midwest,2007-01-01,37320.09111986512
Midwest,2007-02-01,37447.23734308562
Midwest,2007-03-01,37574.401503826535
Midwest,2007-04-01,37701.58358652656
Midwest,2007-05-01,37828.78357564244
Midwest,2007-06-01,37956.001455648824
Midwest,2007-07-01,38083.23721103835
Midwest,2007-08-01,38210.49082632155
Midwest,2007-09-01,38337.76228602687
Midwest,2007-10-01,38465.051574700585
Midwest,2007-11-01,38592.35867690685
Midwest,2007-12-01,38719.683577227595
Midwest,2008-01-01,38847.026260262566
Midwest,2008-02-01,38730.49318199583
Midwest,2008-03-01,38613.96313397325
Midwest,2008-04-01,38497.4361136404
Midwest,2008-05-01,38380.91211844571
Midwest,2008-06-01,38264.3911458405
Midwest,2008-07-01,38147.873193278945
Midwest,2008-08-01,38031.35825821807
Midwest,2008-09-01,37914.84633811775
Midwest,2008-10-01,37798.337430440726
Midwest,2008-11-01,37681.83153265258
Midwest,2008-12-01,37565.32864222172
Midwest,2009-01-01,37448.82875661943
Midwest,2009-02-01,37543.943902382285
Midwest,2009-03-01,37639.06057541256
Midwest,2009-04-01,37734.178774413456
Midwest,2009-05-01,37829.298498089694
Midwest,2009-06-01,37924.41974514743
Midwest,2009-07-01,38019.5425142943
Midwest,2009-08-01,38114.66680423939
Midwest,2009-09-01,38209.792613693244
Midwest,2009-10-01,38304.91994136787
Midwest,2009-11-01,38400.048785976745
Midwest,2009-12-01,38495.17914623477
Midwest,2010-01-01,38590.31102085831
Midwest,2010-02-01,38778.68901665359
Midwest,2010-03-01,38967.07927868861
Midwest,2010-04-01,39155.48179832662
Midwest,2010-05-01,39343.89656693899
Midwest,2010-06-01,39532.32357590518
Midwest,2010-07-01,39720.76281661275
Midwest,2010-08-01,39909.21428045731
Midwest,2010-09-01,40097.67795884256
Midwest,2010-10-01,40286.15384318027
Midwest,2010-11-01,40474.64192489024
Midwest,2010-12-01,40663.14219540031
Midwest,2011-01-01,40851.65464614634
Midwest,2011-02-01,40989.38497027148
Midwest,2011-03-01,41127.13289229012
Midwest,2011-04-01,41264.898400145925
Midwest,2011-05-01,41402.68148179357
Midwest,2011-06-01,41540.48212519871
Midwest,2011-07-01,41678.30031833802
Midwest,2011-08-01,41816.13604919911
Midwest,2011-09-01,41953.98930578057
Midwest,2011-10-01,42091.86007609195
Midwest,2011-11-01,42229.748348153706
Midwest,2011-12-01,42367.654109997246
Midwest,2012-01-01,42505.57734966486
Midwest,2012-02-01,42534.23544628055
Midwest,2012-03-01,42562.880085487304
Midwest,2012-04-01,42591.51127867753
Midwest,2012-05-01,42620.12903723079
Midwest,2012-06-01,42648.73337251383
Midwest,2012-07-01,42677.32429588055
Midwest,2012-08-01,42705.901818672064
Midwest,2012-09-01,42734.465952216684
Midwest,2012-10-01,42763.01670782998
Midwest,2012-11-01,42791.55409681477
Midwest,2012-12-01,42820.07813046113
Midwest,2013-01-01,42848.58882004644
Midwest,2013-02-01,42976.70254536183
Midwest,2013-03-01,43104.818374758244
Midwest,2013-04-01,43232.9363067651
Midwest,2013-05-01,43361.056339913215
Midwest,2013-06-01,43489.17847273476
Midwest,2013-07-01,43617.302703763286
Midwest,2013-08-01,43745.42903153367
Midwest,2013-09-01,43873.557454582195
Midwest,2013-10-01,44001.68797144651
Midwest,2013-11-01,44129.82058066559
Midwest,2013-12-01,44257.95528077978
Midwest,2014-01-01,44386.09207033081
Midwest,2014-02-01,44523.57760287456
Midwest,2014-03-01,44661.03896366013
Midwest,2014-04-01,44798.47616339311
Midwest,2014-05-01,44935.889212772825
Midwest,2014-06-01,45073.278122492215
Midwest,2014-07-01,45210.642903237946
Midwest,2014-08-01,45347.98356569038
Midwest,2014-09-01,45485.30012052358
Midwest,2014-10-01,45622.59257840527
Midwest,2014-11-01,45759.86094999693
Midwest,2014-12-01,45897.105245953746
Midwest,2015-01-01,46034.325476924576
Midwest,2015-02-01,46091.91975566618
Midwest,2015-03-01,46149.510848518956
Midwest,2015-04-01,46207.09875703662
Midwest,2015-05-01,46264.6834827719
Midwest,2015-06-01,46322.26502727649
Midwest,2015-07-01,46379.84339210108
Midwest,2015-08-01,46437.41857879537
Midwest,2015-09-01,46494.99058890802
Midwest,2015-10-01,46552.55942398673
Midwest,2015-11-01,46610.12508557815
Midwest,2015-12-01,46667.68757522794
Midwest,2016-01-01,46725.24689448078
Midwest,2016-02-01,46844.97039395925
Midwest,2016-03-01,46964.69075822824
Midwest,2016-04-01,47084.40798892516
Midwest,2016-05-01,47204.12208768625
Midwest,2016-06-01,47323.83305614664
Midwest,2016-07-01,47443.540895940285
Midwest,2016-08-01,47563.245608700054
Midwest,2016-09-01,47682.947196057634
Midwest,2016-10-01,47802.645659643604
Midwest,2016-11-01,47922.34100108739
Midwest,2016-12-01,48042.033222017315
Midwest,2017-01-01,48161.722324060516
Midwest,2017-02-01,48342.11087026706
Midwest,2017-03-01,48522.48740398328
Midwest,2017-04-01,48702.851929731405
Midwest,2017-05-01,48883.20445203139
Midwest,2017-06-01,49063.54497540089
Midwest,2017-07-01,49243.87350435531
Midwest,2017-08-01,49424.19004340781
Midwest,2017-09-01,49604.494597069264
Midwest,2017-10-01,49784.787169848285
Midwest,2017-11-01,49965.06776625122
Midwest,2017-12-01,50145.33639078218
Midwest,2018-01-01,50325.59304794299
Midwest,2018-02-01,50461.89551345843
Midwest,2018-03-01,50598.20018266899
Midwest,2018-04-01,50734.5070549528
Midwest,2018-05-01,50870.816129688275
Midwest,2018-06-01,51007.12740625403
Midwest,2018-07-01,51143.440884028925
Midwest,2018-08-01,51279.756562392045
Midwest,2018-09-01,51416.07444072272
Midwest,2018-10-01,51552.39451840053
Midwest,2018-11-01,51688.71679480524
Midwest,2018-12-01,51825.04126931688
